base	number	description	note	description_fin	note_fin	link_original	link_wordnet	backtrack	synset_id	import_id
tuudittaa	1	Steady, calm	(tags: model:steady.01)	Rauhoittaa, tehdä rauhalliseksi	NULL	NULL	NULL	1983	NULL	NULL
tuudittautua	1	Be lulled into something	Note: not in sync with lull.01, no arg0 in Finnish	Tuudittautua johonkin	Huom! Ei synkr. lull.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
tuulettaa	1	air	NULL	saada joku tila raikkaaksi antamalla ilman virrata	NULL	NULL	NULL	NULL	NULL	NULL
tuulla	1	blow	NULL	ilmavirran liikkuminen	NULL	NULL	NULL	NULL	NULL	NULL
tuumata	1	Think something, ponder	(tags: seed:miettiä, model:ponder.01)	Ajatella jotain, tuumailla		NULL	NULL	NULL	00599167, 02049238	b22238
tuumia	1	Think something, ponder	(tags: seed:miettiä, model:ponder.01)	Ajatella jotain, tuumailla		NULL	NULL	NULL	00599167, 02049238	b22238
tuunata	1	To mend, repair	Note: Not in sync with fix, repair etc., instrument present in Finnish (tags: seed:paikata)	Paikata, korjata	Ei synkr. fix, repair jne. kanssa, suomessa väline yleinen (tags: seed:paikata)	NULL	NULL	NULL	01506375	59857d2
tuupata	1	push	NULL	liikuttaa jotakin painamalla sitä eteenpäin	NULL	NULL	NULL	4324	NULL	NULL
tuupertua	1	Faint	Note: not in sync with faint.01, why arg0?	Tuupertua, pyörtyä	Huom! Ei synkr. faint.01:n kanssa, miksi arg0?	NULL	NULL	NULL	NULL	NULL
tyhjentyä	1	Empty, become empty	Note: not in sync. with empty.01, no arg0 in Finnish\t	Tyhjentyä, tulla tyhjäksi	Huom! Ei synkr. empty.01:n kanssa, suomessa ei arg0:a	NULL	NULL	3261	NULL	NULL
tyhjentää	1	Empty	(tags: model:empty.01)	Tyhjentää	NULL	empty.01	NULL	NULL	NULL	NULL
tyhjetä	1	Empty, become empty	Note: not in sync. with empty.01, no arg0 in Finnish\t	Tyhjentyä, tulla tyhjäksi	Huom! Ei synkr. empty.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
tyhmäillä	1	Fool around, arse around	NULL	Tyhmäillä, hölmöillä	NULL	NULL	NULL	NULL	NULL	NULL
tykyttää	1	Strike, beat	(tags: seed:lyödä, model:hit.01)	Lyödä, kumauttaa, rummuttaa	(tags: seed:lyödä, model:hit.01)	NULL	NULL	255	NULL	NULL
tykätä	1	To like someone or something	(tags: model:like.01, seed:tykätä, colloquial)	Pitää jostakin	(tags: model:like.01, seed:tykätä, colloquial)	like.01	NULL	NULL	01728315, 01678463	55d095b
tympiä	1	Bore	NULL	Tympiä, kyllästyttää	NULL	NULL	NULL	NULL	NULL	NULL
tyrkyttää	1	Impose, peddle	tags:model:impose.01	Tyrkyttää	NULL	NULL	NULL	NULL	NULL	NULL
tyrmistyä	1	Be shocked	Note: not in sync with shock.01, no causer in Finnish, so experiencer becomes arg0	Kokea järkytys	Huom! Ei synkr. shock.01:n kanssa, suomessa ei aiheuttajaa, joten kokijasta tulee arg0	NULL	NULL	3138	NULL	NULL
tyrmätä	1	Reject	NULL	Tyrmätä	NULL	NULL	NULL	NULL	NULL	NULL
tyssätä	1	End, cause to stop	The usage with arg0 seems unusual in Finnish but appears in the corpus. (tags: model:end.01, seed:lopettaa)	Lopettaa, aiheuttaa jonkin loppuminen	Käyttö arg0:n kanssa tuntuu epätavalliselta suomessa mutta esiintyy korpuksessa.	stop.01	NULL	1237	NULL	NULL
tytötellä	1	Call someone a girl	Note! Not in sync with name.01 or name.02, possible for both arg2s to occur in the same instance (tags: seed:nimetä)	Kutsua jotakuta tytäksi	Huom! Ei synkr. name.01 tai name.02:n kanssa, molempien arg2:t voivat esiintyä samassa esimerkissä (tags: seed:nimetä)	NULL	NULL	210	NULL	NULL
tyydyttyä	1	Be satisfied	NULL	Tyydyttyä	NULL	NULL	NULL	NULL	NULL	NULL
tyydyttää	1	Satisfy, fulfill expectations	(tags:model:satisfy.01)	Tyydyttää, täyttää odotukset	NULL	satisfy.01	NULL	NULL	01738588	333afd9
tyydyttää	2	Overcome, quench	(tags:model:quench.01)	Tyydyttää, sammuttaa	NULL	quench.01	NULL	NULL	001131362	1c328aa
tyynnytellä	1	Steady, calm	(tags: model:steady.01)	Rauhoittaa, tehdä rauhalliseksi	NULL	NULL	NULL	3890	NULL	NULL
tyyntyä	1	Calm down, become calm	NULL	Rauhoittua, tulla rauhalliseksi	NULL	NULL	NULL	2147	NULL	NULL
tyytyä	1	Settle for something (non-optimal)	(tags: model:acquiesce.01, seed:tyytyä)	Tyytyä johonkin (ei-optimaaliseen)	(tags: model:acquiesce.01, seed:tyytyä)	acquiesce.01	NULL	NULL	00694015	206f6af
työllistyä	1	Get a job		Työllistyä, saada työpaikka	NULL	none.01	NULL	NULL	NULL	NULL
työllistää	1	Employ, provide employment	(tags: model:employ.01)	Työllistää, aiheuttaa työtä	NULL	employ.01	NULL	NULL	NULL	NULL
työntyä	1	Cram, squeeze	tags:model:cram.01	Tunkea	NULL	NULL	NULL	2638	NULL	NULL
työntää	1	push	NULL	liikuttaa jotakin painamalla sitä eteenpäin	NULL	push.01	NULL	NULL	NULL	NULL
työskennellä	1	Work	(tags: model:work.01)	Työskennellä, olla töissä	NULL	work.01	NULL	NULL	02282231	31754a4
työstää	1	Process	(tags: model:process.01)	Työstää, prosessoida	NULL	process.01	NULL	NULL	01598644	b7a58b
tähdittää	1	Act as the main character	(tags: model:perform.01)	Esittää pääosaa	NULL	NULL	NULL	1297	NULL	NULL
tähdätä	1	Aim at something, apply to somewhere, try to do something	(tags: model:strive.01, seed:pyrkiä)	Tavoitella jotakin, tähdätä johonkin, hakea jonnekin	NULL	strive.01	NULL	NULL	00967931, 00668857	1e80ccd
tähdätä	2	Aim, point at	(tags: model:aim.02)	Osoittaa, suunnata	(tags: model:aim.02)	aim.02	NULL	NULL	01087860	2d9c13e
tähtäillä	1	Aim, point at	(tags: model:aim.02)	Osoittaa, suunnata	(tags: model:aim.02)	NULL	NULL	987	NULL	NULL
täristä	1	Tremble	(tags: model:tremble.01)	Väristä, täristä	NULL	NULL	NULL	2171	NULL	NULL
tärvätä	1	Ruin, destroy	tags:model:ruin.01	Pilata	NULL	NULL	NULL	2404	NULL	NULL
täsmentää	1	Specify, clarify	(tags: model:specify.01)	Täsmentää, tarkentaa	NULL	specify.01	NULL	NULL	NULL	NULL
täydentyä	1	Be restocked	NULL	Täydentyä	NULL	NULL	NULL	NULL	NULL	NULL
täydentää	1	Supplement	NULL	Täydentää	NULL	NULL	NULL	NULL	NULL	NULL
täyttyä	1	fullfill, satisfy	NULL	täyttää vaatimukset	NULL	NULL	NULL	NULL	NULL	NULL
täyttyä	2	fill	NULL	tulla täyteen	NULL	NULL	NULL	NULL	NULL	NULL
täyttää	1	Fill	(tags: model:fill.01)	Täyttää, laittaa täyteen	NULL	fill.01	NULL	NULL	00437334	f6e00a
täyttää	2	Become older	not in sync with age.01	Täyttää vuosia	NULL	none.01	NULL	NULL	00237390	31fd31d
täyttää	3	Fill out	Note: not in sync with fill.03, no arg2 in English	Kirjoittaa paperi valmiiksi	Huom! Ei synkr. fill.03:n kanssa, englannissa ei arg2:a	none.01	NULL	NULL	00962332	2fe5e20
täyttää	4	Meet the requirements		Täyttää vaatimukset	NULL	none.01	NULL	NULL	002524894	25736e3
täytäntöönpanna	1	Put into effect, execute	(tags: phrasal)	Panna täytäntöön	NULL	NULL	NULL	81	NULL	NULL
tökkiä	1	Poke	(tags: model:poke.01)	Tökkiä	NULL	poke.01	NULL	NULL	NULL	NULL
tökkiä	2	Progress badly	NULL	Sujua huonosti, ei tee enää mieli jotain	NULL	none.01	NULL	NULL	NULL	NULL
tömähtää	1	Thump, bump	Note: not in sync with thump.01, no arg0 in Finnish (the transitive version is "tömäyttää"), rather arg1 and arg2	Tömähtää, osua	Huom! Ei synkr. thump.01:n kanssa, ei arg0:a suomessa (transitiivinen versio olisi "tömäyttää"), vain arg1 ja arg2	none.01	NULL	NULL	NULL	NULL
töniä	1	Push, shove	Note: not in sync with shove.01, no arg2 in Finnish	Töniä	Huom! Ei synkr. shove.01:n kanssa, suomessa ei arg2:a	NULL	NULL	NULL	NULL	NULL
tönäistä	1	push	NULL	liikuttaa jotakin painamalla sitä eteenpäin	NULL	NULL	NULL	4324	NULL	NULL
törmäillä	1	Blunder	Note: not in sync with blunder.01, no arg1 in Finnish	Törmäillä, tehdä virheitä	Huom! Ei synkr. blunder.01:n kanssa, suomessa ei arg1:a	NULL	NULL	NULL	NULL	NULL
törmätä	1	Hit the (intended) target or goal	(tags: model:strike.01)	Osua (tarkoitettuun) maaliin tai kohtaan	NULL	NULL	NULL	1290	NULL	NULL
udella	1	Be curious, ask a question/questions	(tags: model: ask.01, seed:kysyä)	Olla utelias, kysyä kysymys/kysymyksiä	NULL	none.01	NULL	794	NULL	NULL
uhata	1	Threaten		Uhata	NULL	NULL	NULL	NULL	02576715,01704727	4912438
uhkailla	1	Threaten		Uhata	NULL	NULL	NULL	1258	NULL	NULL
uhkua	1	Illuminate, shine, radiate	(tags: model:shine.01, seed:kuultaa)	Säteillä, huokua		NULL	NULL	2800	NULL	NULL
uhota	1	Scream, speak very loudly	(tags: model:scream.01)	Huutaa, puhua kovaäänisesti	NULL	NULL	NULL	1054	NULL	NULL
uhrata	1	sacrifice	NULL	luopua jostakin saavuttaakseen jotakin parempaa	NULL	NULL	NULL	NULL	NULL	NULL
uida	1	Swim, move in water	(tags: model:swim.01)	Uida, liikkua vedessä	NULL	NULL	NULL	NULL	NULL	507982e
uinua	1	Doze	(tags:model:doze.01)	Torkkua	NULL	NULL	NULL	2636	NULL	NULL
ujeltaa	1	Make a wailing noise	Note: not in sync. with e.g. wail.01, no arg1 in Finnish	Pitää ujeltavaa ääntä	Huom! Ei synkr. esim. wail.01:n kanssa, ei arg1:ä suomessa	none.01	NULL	NULL	NULL	NULL
ujostella	1	Feel shy	NULL	Ujostella	NULL	NULL	NULL	NULL	NULL	NULL
ujuttautua	1	Cram, squeeze	tags:model:cram.01	Tunkea	NULL	NULL	NULL	2959	NULL	NULL
ulkoiluttaa	1	Walk, take somebody for a walk	Note: not in sync with walk.01, different sense	Ulkoiluttaa	Huom! Ei synkr. walk.01:n kanssa, eri merkitys	NULL	NULL	NULL	NULL	NULL
ulottaa	1	extend	NULL	laajentaa aluetta	NULL	NULL	NULL	NULL	NULL	NULL
ulottua	1	Extend, stretch	Note: not in sync with stretch.01 or extend.01, no arg0 or agr2 in Finnish	Ulottua jostakin johonkin	Huom! Ei synkr. stretch.01:n tai extend.01:n kanssa, ei arg0:a eikä arg2:a suomessa	NULL	NULL	NULL	NULL	12936f2
unionisoida	1	Standardize inside a union, "EU-ify"	NULL	Unionisoida, yhdenmukaistaa unionin sisällä	NULL	none.01	NULL	NULL	NULL	NULL
unohtaa	1	Forget, not remember	(tags: model:forget.01)	jättää muistamatta	NULL	forget.01	NULL	NULL	00591107	359e37a
unohtua	1	be forgotten	NULL	jäädä muistamatta (passiivisesti)	NULL	NULL	NULL	NULL	NULL	NULL
upota	1	Sink	Note: not in sync with sink.01, no arg0 in Finnish	Upota	NULL	NULL	NULL	NULL	NULL	NULL
upottaa	1	Cause to sink	NULL	Upottaa	NULL	NULL	NULL	NULL	NULL	NULL
uskaltaa	1	Dare	Not in sync with dare.01 (John dared Mary to kiss him)	Tehdä jotakin jollakin tavalla riskialtista	Ei synkr. dare.01:n kanssa (John dared Mary to kiss him)	NULL	NULL	NULL	02432196	103d0c0
uskaltautua	1	Dare	Not in sync with dare.01 (John dared Mary to kiss him)	Tehdä jotakin jollakin tavalla riskialtista	Ei synkr. dare.01:n kanssa (John dared Mary to kiss him)	NULL	NULL	1083	NULL	NULL
uskoa	1	Believe in something	(tags: model:believe.01)	Uskoa johonkin	NULL	believe.01	NULL	NULL	00683260, 00648712	4c86c3e
uskotella	1	Try to convince oneself, make somebody believe something	(tags: model:convince.01)	Uskotella	NULL	none.01	NULL	NULL	NULL	NULL
usuttaa	1	Urge	NULL	Usuttaa, yllyttää	NULL	NULL	NULL	NULL	NULL	NULL
uudelleenlaskea	1	Calculate, compute something	(tags: model:count.01)	Tehdä laskutoimituksia	(tags: model:count.01)	none.01	NULL	311	NULL	NULL
uudelleenmuodostaa	1	Form, compose something	(tags: model:compose.01)	Muodostaa jotakin	NULL	none.01	NULL	1076	NULL	NULL
uudistaa	1	Reform	(tags: model:reform.01)	Uudistaa, tehdä uudenlaiseksi	NULL	reform.01	NULL	NULL	NULL	NULL
uudistua	1	Be renewed	Note: not in sync with renew.01, no arg0 in Finnish	Muuttua uudenlaiseksi	Huom! Ei synkr. renew.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
uumoilla	1	See something coming, sense	Note: Not in sync with sense.01, no arg2 in Finnish	Aavistaa	Huom! Ei synkr. sense.01:n kanssa, suomessa ei arg2:a	NULL	NULL	2318	NULL	NULL
uupua	1	Tire, get tired	Note: not in sync with tire.01, no arg0 in Finnish	Väsyä, tulla väsyneeksi	Huom! Ei synkr. tire.01:n kanssa, suomessa ei arg0:a	NULL	NULL	2093	NULL	NULL
uusia	1	Renew, make again	(tags: model:renew.01)	Uusia, tehdä uudelleen	NULL	NULL	NULL	NULL	01660452	647099
uusiutua	1	Happen again, repeat itself	Not in sync with repeat.01, no arg0 in Finnish	Toistua, tapahtua uudelleen	Ei synkr. repeat.01:n kanssa, suomessa ei arg0:a	none.01	NULL	2107	NULL	NULL
uusiutua	2	Regenerate (oneself)	NULL	Uusiutua, muuttaa (itsensä) uudenlaiseksi	NULL	NULL	NULL	NULL	NULL	NULL
uutisoida	1	Report, inform	NULL	Uutisoida, tiedottaa	NULL	none.01	NULL	NULL	NULL	NULL
vaahdottaa	1	cream	NULL	saada aikaan vaahto kerman avulla	NULL	cream.02	NULL	NULL	NULL	NULL
vaalia	1	Treasure, cherisch	NULL	sailyttää huolella, pitää suuressa arvossa	NULL	treasure.01	NULL	NULL	NULL	NULL
vaarantaa	1	Endanger	NULL	Vaarantaa	NULL	NULL	NULL	NULL	NULL	NULL
vaarantua	1	Be endangered	NULL	Vaarantua	NULL	NULL	NULL	NULL	NULL	NULL
vaatettaa	1	Dress	tags:model:dress.01	Pukea	NULL	NULL	NULL	2481	NULL	NULL
vaatia	1	Require		Vaatia	NULL	NULL	NULL	NULL	01137033	3fcabc1
vaellella	1	Wander	tags:model:wander.01	Vaeltaa	NULL	NULL	NULL	2645	NULL	NULL
vaeltaa	1	Wander	tags:model:wander.01	Vaeltaa	NULL	NULL	NULL	NULL	NULL	NULL
vahingoittaa	1	Harm	NULL	Vahingoittaa	NULL	NULL	NULL	NULL	NULL	NULL
vahingoittua	1	Be damaged	NULL	Vahingoittua	NULL	NULL	NULL	NULL	NULL	NULL
vahtia	1	watch over, guard	NULL	vahtia, pitää silmällä	NULL	NULL	NULL	1831	NULL	NULL
vahvistaa	1	Ensure, verify, confirm	(tags: model:ensure.01, seed:varmistaa)	Varmistaa, vahvistaa	NULL	ensure.01	NULL	NULL	00628527	434f14f
vahvistaa	2	Reinforce, make stronger	(tags: model:reinforce.01)	Tehdä vahvemmaksi	NULL	NULL	NULL	NULL	00217250	15dcd93
vahvistua	1	Strengthen, gain strength	Not in sync eith strengthen.01, no arg0 in Finnish	Vahvistua, tulla vahvemmaksi	Ei synkr. strengthen.01:n kanssa, ei arg0:a suomessa	none.01	NULL	NULL	NULL	NULL
vahvistua	2	Be confirmed, be verified	NULL	Vahvistua, varmistua	NULL	none.01	NULL	NULL	NULL	NULL
vaientaa	1	Silence (stifle, supress), make silent	(tags: model:silence.01)	Vaientaa, saada hiljaiseksi	NULL	silence.01	NULL	NULL	NULL	NULL
vaieta	1	Fall silent, cease	Note: not in sync with cease.01, no arg0 in Finnish	Vaieta	Huom! Ei synkr. cease.01:n kanssa, suomessa ei arg0:a	NULL	NULL	NULL	NULL	NULL
vaihdella	1	Vary, experience changes	(tags: model:vary.01, VVB)	Vaihdella, kokea muutoksia		vary.01	NULL	NULL	NULL	NULL
vaihtaa	1	Cause to change	(tags:model:change.01)	Aiheuttaa vaihto	NULL	change.01	NULL	NULL	00369871	1a652df
vaihtua	1	Change, transform, vary	N.b! Not in sync with change.01, no arg0 (tags: seed:muuttua)	Tulla muuksi, toisenlaiseksi kuin aiemmin, vaihdella	Huom! Ei synkr. change.01:n kanssa, ei arg0 (tags: seed:muuttua)	none.01	NULL	NULL	02483439, 00528497, 00103444	10faa11
vaikeroida	1	Cry, weep	Note: Not in sync with cry.01 or cry.02, no arg0 in Finnish.	Itkeä	Huom! Ei synkr. cry.01:n eikä cry.02:n kanssa, suomessa ei arg0:a	NULL	NULL	2253	NULL	NULL
vaikeuttaa	1	Make something more difficult	NULL	Tehdä jostakin vaikeampaa	NULL	NULL	NULL	NULL	NULL	NULL
vaikeutua	1	Become more difficult	NULL	Vaikeutua	NULL	none.01	NULL	NULL	NULL	NULL
vaikuttaa	1	Appear (sound, seem)	Note: not in sync with sound.01, experiencer arg0 in Finnish	Vaikuttaa joltakin	Huom! Ei synkr. sound.01:n kanssa, kokija suomessa arg0	NULL	NULL	NULL	02041936, 02041810	4d8988e
vaikuttaa	2	Affect	Note: not in sync with affect.01: no arg2 in Finnish, and arg0 can be inanimate	Vaikuttaa johonkin	Huom! Ei synkr. affect.01:n kanssa, suomessa ei arg2:a, ja arg0 voi olla eloton	NULL	NULL	NULL	NULL	NULL
vaikuttaa	3	Function, act	NULL	Toimia	NULL	NULL	NULL	NULL	NULL	NULL
vaipua	1	Fall into	NULL	Vaipua jhk olotilaan	NULL	NULL	NULL	NULL	NULL	NULL
vaivata	1	Have negative feelings	NULL	Painaa mieltä	NULL	none.01	NULL	NULL	02501048	1d19a37
vajota	1	Fall, move downward, decrease	(tags: model:fall.01 seed:pudota)	Pudota jostakin, tippua alaspäin, vähentyä	(tags: model:fall.01 seed:pudota)	NULL	NULL	NULL	02268970	1c3a640
vakauttaa	1	Steady, make steady	NULL	Tasaannuttaa	NULL	NULL	NULL	3909	NULL	NULL
vakiinnuttaa	1	Steady, make steady	NULL	Tasaannuttaa	NULL	NULL	NULL	3870	NULL	NULL
vakiintua	1	become established	NULL	tulla vakaaksi	NULL	NULL	NULL	NULL	NULL	NULL
vakuutella	1	Assure, convince, make a promise, guarantee		Vannoa, saada vakuuttuneeksi, taata, luvata	NULL	NULL	NULL	1689	NULL	NULL
vakuuttaa	1	Take an insurance for someone or something	NULL	Ottaa vakuutus jollekin	NULL	NULL	NULL	NULL	02153492	38646e2
vakuuttaa	2	Assure, convince, make a promise, guarantee		Vannoa, saada vakuuttuneeksi, taata, luvata	NULL	NULL	NULL	NULL	02625432, 00965455, 00847989	5c7e0bc
vakuuttua	1	Become convinced of something	NULL	Tulla vakuuttuneeksi jostakin	NULL	none.01	NULL	NULL	NULL	NULL
valahtaa	1	Slip, fall, muuttua	Note: not in sync with slip.01, no arg2 in Finnish	Valahtaa, pudota, muuttua	Huom! Ei synkr. slip.01:n kanssa, ei arg2:a suomessa	none.01	NULL	NULL	NULL	NULL
valaista	1	Make lighter, illuminate	(tags: model:light.01)	Valaista, tuottaa valoa	NULL	light.01	NULL	NULL	NULL	NULL
valaista	2	Enlighten, make clear	Note: not in sync with enlighten.01, arg1 and arg2 the other way around in Finnish - topic is the patient	Valaista, selventää	Huom! Ei synkr. enlighten.01:n kanssa, arg1 ja arg2 suomessa toisin päin - aihe on patientti	none.01	NULL	NULL	NULL	NULL
valella	1	Baste	NULL	Valella, yleensä nesteellä	NULL	NULL	NULL	NULL	NULL	NULL
valikoida	1	Select, choose, pick	(tags: model:select.01, seed:valita)	Tehdä valinta, valita jotain jostakin	(tags: model:select.01, seed:valita)	select.01	NULL	NULL	00785103	4854534
valikoitua	1	Be chosen	NULL	Valikoitua	NULL	NULL	NULL	NULL	NULL	NULL
valistaa	1	Educate	(tags: model:raise.03, seed:kasvattaa)	Kouluttaa, valistaa	NULL	NULL	NULL	NULL	NULL	NULL
valita	1	Select, choose, pick	(tags: model:select.01, seed:valita)	Tehdä valinta, valita jotain jostakin	(tags: model:select.01, seed:valita)	select.01	NULL	NULL	00785103	4854534
valita	2	Vote in an election, select by a vote, express one's preference	(tags: seed:äänestää, model:vote.01)	Antaa ääni vaaleissa, valita äänestämällä, ilmaista mieltymys	NULL	NULL	NULL	NULL	02354600, 02354120	58fff2
valittaa	1	Complain	(tags: model:complain.01, seed:valittaa)	Valittaa, motkottaa	NULL	complain.01	NULL	NULL	00870881	2211cf3
valittaa	2	Appeal	(tags: model:appeal.01)	Valittaa päätöksestä	NULL	appeal.01	NULL	NULL	02386799	3515918
valjastaa	1	Harness	Note: not in sync with harness.01, additional arg2 in Finnish	Valjastaa	Huom! Ei synkr. harness.01:n kanssa, suomessa lisäksi arg2	NULL	NULL	NULL	NULL	NULL
vallata	1	Conquer, occupy	(tags: model:conquer.01, seed:vallata)	Ottaa jotain hallintaansa	(tags: model:conquer.01, seed:vallata)	conquer.01	NULL	NULL	02595175	5a08fd0
vallata	2	Overwhelm	E.g. Rauhallinen olo valtasi minut (A peaceful feeling overwhelmed me) (tags: seed:vallata)	Tunne täyttää mielen	Esim. Rauhallinen olo valtasi minut (tags: seed:vallata)	none.01	NULL	NULL	01710602	3ea9864
vallita	1	Prevail, exist	(tags: model:prevail.02)	Olla vallalla, olla olemassa	NULL	NULL	NULL	NULL	02530410	2539b31
valloittaa	1	Conquer, occupy	(tags: model:conquer.01, seed:vallata)	Ottaa jotain hallintaansa	(tags: model:conquer.01, seed:vallata)	NULL	NULL	NULL	02595175	5a08fd0
valmentaa	1	Coach, train	(tags: model:coach.01)	Valmentaa, harjoittaa	NULL	coach.01	NULL	NULL	NULL	NULL
valmistaa	1	Make, do, produce something	(tags: model:make.01, seed:valmistaa)	Valmistaa, tehdä jotakin	(tags: model:make.01, seed:valmistaa)	NULL	NULL	NULL	01663147	519edfb
valmistaa	2	Prepare, make ready for something	(tags: model:prepare.02, seed:valmistaa)	Valmistaa, valmistella johonkin	(tags: model:prepare.02, seed:valmistaa)	NULL	NULL	NULL	00387603	15da4ed
valmistautua	1	Get ready, prepare oneself	NULL	Valmistautua	NULL	none.01	NULL	NULL	NULL	NULL
valmistella	1	Prepare, make ready for something	(tags: model:prepare.02, seed:valmistaa)	Valmistaa, valmistella johonkin	(tags: model:prepare.02, seed:valmistaa)	prepare.02	NULL	NULL	00387603	15da4ed
valmistua	1	Graduate	Not in sync with graduate.01, no argA in Finnish	Suorittaa tutkinto	Ei synkr. graduate.01:n kanssa, suomessa ei argA:ta	NULL	NULL	NULL	02166088	33dc5db
valmistua	2	Be finished	NULL	Tulla valmiiksi	NULL	NULL	NULL	NULL	NULL	30e93d9
valottaa	1	show, demonstrate	(tags: model:show.01)	tuoda esille asia, tavara tai ihminen	NULL	NULL	NULL	1143	NULL	NULL
valtiollistaa	1	nationalize	(tags: model:nationalize.01)	ottaa valtion haltuun	NULL	nationalize.01	NULL	2789	NULL	NULL
valtuuttaa	1	Authorize, mandate	NULL	Valtuuttaa, oikeuttaa jokin toimimaan puolestaan	NULL	none.01	NULL	NULL	NULL	NULL
valua	1	Flow, dribble	NULL	Valua	NULL	NULL	NULL	NULL	NULL	NULL
valuttaa	1	Strain, let liquid flow away	Note: not in sync with strain.01, arg1 and arg2 somehow mixed	Valuttaa, antaa nesteen virrata pois	Huom! Ei synkr. strain.01:n kanssa, arg1 ja arg2 jotenkin sekaisin	none.01	NULL	NULL	NULL	NULL
valvoa	1	stay up	NULL	Pysyä hereillä	NULL		NULL	NULL	NULL	NULL
valvoa	2	watch over, guard	NULL	vahtia, pitää silmällä	NULL	watch.03	NULL	NULL	NULL	NULL
vangita	1	Confine, imprison	(tags: seed:sulkea, model:confine.01)	Vangita, sulkea lukkojen taakse	NULL	confine.01	NULL	NULL	01291998	1c2c16a
vanhentua	1	Become outdated	NULL	Vanhentua, tulla vanhanaikaiseksi	NULL	none.01	NULL	NULL	NULL	NULL
vanheta	1	Age, expire	Both "Eläkeläinen vanhenee" ("Pensioner is getting older") or "Patentti vanhenee" ("Patent expires")	Vanheta, tulla iäkkäämmäksi, mennä vanhaksi	Sekä "Eläkeläinen vanhenee" että "Patentti vanhenee"	none.01	NULL	NULL	NULL	NULL
